solution_id,ref_epoch,ra_dec_corr,astrometric_n_obs_al,matched_observations,duplicated_source,phot_variable_flag
1635721458409799680,2015.5,0.07059244,133,15,false,"NOT_AVAILABLE"
1635721458409799680,2015.5,0.16947027,115,13,false,"NOT_AVAILABLE"
1635721458409799680,2015.5,0.19445077,115,13,false,"NOT_AVAILABLE"
1635721458409799680,2015.5,0.1697601,116,14,false,"NOT_AVAILABLE"
1635721458409799680,2015.5,-0.13065714,72,9,false,"NOT_AVAILABLE"
1635721458409799680,2015.5,0.135389,132,15,false,"NOT_AVAILABLE"
1635721458409799680,2015.5,0.080346934,134,15,false,"NOT_AVAILABLE"
1635721458409799680,2015.5,0.06397898,116,14,false,"NOT_AVAILABLE"
1635721458409799680,2015.5,0.0431932,116,14,false,"NOT_AVAILABLE"
1635721458409799680,2015.5,0.20314498,125,14,false,"NOT_AVAILABLE"
1635721458409799680,2015.5,0.1803336,134,15,false,"NOT_AVAILABLE"
1635721458409799680,2015.5,0.089540906,142,16,false,"NOT_AVAILABLE"
1635721458409799680,2015.5,0.23512067,114,13,false,"NOT_AVAILABLE"
1635721458409799680,2015.5,0.066183,125,15,false,"NOT_AVAILABLE"
1635721458409799680,2015.5,-0.29090926,97,13,false,"NOT_AVAILABLE"
1635721458409799680,2015.5,0.21693705,108,12,false,"NOT_AVAILABLE"
1635721458409799680,2015.5,0.1531835,134,15,false,"NOT_AVAILABLE"
1635721458409799680,2015.5,0.14783339,130,15,false,"NOT_AVAILABLE"
1635721458409799680,2015.5,0.32718197,59,7,false,"NOT_AVAILABLE"
1635721458409799680,2015.5,-0.05562011,135,16,false,"NOT_AVAILABLE"
1635721458409799680,2015.5,0.008669683,140,16,false,"NOT_AVAILABLE"
